last,first,pos,num,comb,GP,TOI,TOI_5v5
COPLEY,PHEONIX,G,30,PHEONIX COPLEY,,,
MILLER,RYAN,G,30,RYAN MILLER,,,
FUCALE,ZACHARY,G,30,ZACHARY FUCALE,,,
FORSBERG,ANTON,G,31,ANTON FORSBERG,,,
NIEMI,ANTTI,G,31,ANTTI NIEMI,,,
PICKARD,CALVIN,G,31,CALVIN PICKARD,,,
PRICE,CAREY,G,31,CAREY PRICE,,,
JOHNSON,CHAD,G,31,CHAD JOHNSON,,,
LACK,EDDIE,G,31,EDDIE LACK,,,
ANDERSEN,FREDERIK,G,31,FREDERIK ANDERSEN,,,
SPARKS,GARRET,G,31,GARRET SPARKS,,,
COREAU,JARED,G,31,JARED COREAU,,,
RAMO,KARRI,G,31,KARRI RAMO,,,
JONES,MARTIN,G,31,MARTIN JONES,,,
PAVELEC,ONDREJ,G,31,ONDREJ PAVELEC,,,
BUDAJ,PETER,G,31,PETER BUDAJ,,,
GRUBAUER,PHILIPP,G,31,PHILIPP GRUBAUER,,,
WEDGEWOOD,SCOTT,G,31,SCOTT WEDGEWOOD,,,
FLYNN,BRIAN,C,32,BRIAN FLYNN,56.0,656:35,548:56
GAUDET,TYLER,C,32,TYLER GAUDET,14.0,148:24,123:28
BEAUCHEMIN,FRANCOIS,D,32,FRANCOIS BEAUCHEMIN,82.0,2055:12,1489:09
STREIT,MARK,D,32,MARK STREIT,62.0,1355:54,993:44
ROZSIVAL,MICHAL,D,32,MICHAL ROZSIVAL,51.0,824:11,744:57
STALOCK,ALEX,G,32,ALEX STALOCK,,,
RAANTA,ANTTI,G,32,ANTTI RAANTA,,,
DRIEDGER,CHRIS,G,32,CHRIS DRIEDGER,,,
QUICK,JONATHAN,G,32,JONATHAN QUICK,,,
LEHTONEN,KARI,G,32,KARI LEHTONEN,,,
BACKSTROM,NIKLAS,G,32,NIKLAS BACKSTROM,,,
BACHMAN,RICHARD,G,32,RICHARD BACHMAN,,,
LEIVO,JOSH,L,32,JOSH LEIVO,12.0,147:48,111:16
WILSON,COLIN,C,33,COLIN WILSON,64.0,925:13,798:59
RYAN,DEREK,C,33,DEREK RYAN,6.0,73:13,65:25
SEDIN,HENRIK,C,33,HENRIK SEDIN,74.0,1360:00,999:45
GOLIGOSKI,ALEX,D,33,ALEX GOLIGOSKI,82.0,1954:08,1492:25
BYFUGLIEN,DUSTIN,D,33,DUSTIN BYFUGLIEN,81.0,2041:00,1490:38
NAKLADAL,JAKUB,D,33,JAKUB NAKLADAL,27.0,383:08,331:48
MITCHELL,WILLIE,D,33,WILLIE MITCHELL,46.0,916:32,731:51
CHARA,ZDENO,D,33,ZDENO CHARA,80.0,1927:45,1466:25
TALBOT,CAM,G,33,CAM TALBOT,,,
GIBSON,CHRISTOPHER,G,33,CHRISTOPHER GIBSON,,,
KASDORF,JASON,G,33,JASON KASDORF,,,
DARLING,SCOTT,G,33,SCOTT DARLING,,,
HANNIKAINEN,MARKUS,L,33,MARKUS HANNIKAINEN,4.0,28:35,28:09
SILFVERBERG,JAKOB,R,33,JAKOB SILFVERBERG,82.0,1391:54,1056:32
CARON,JORDAN,R,33,JORDAN CARON,4.0,32:30,32:29
ARCOBELLO,MARK,R,33,MARK ARCOBELLO,20.0,253:33,202:19
SODERBERG,CARL,C,34,CARL SODERBERG,82.0,1476:53,1062:41
NELSON,CASEY,D,34,CASEY NELSON,7.0,103:45,87:34
DAHLBECK,KLAS,D,34,KLAS DAHLBECK,71.0,1125:19,903:17
ALLEN,JAKE,G,34,JAKE ALLEN,,,
REIMER,JAMES,G,34,JAMES REIMER,,,
CANNATA,JOE,G,34,JOE CANNATA,,,
HUTCHINSON,MICHAEL,G,34,MICHAEL HUTCHINSON,,,
MRAZEK,PETR,G,34,PETR MRAZEK,,,
SEKAC,JIRI,L,34,JIRI SEKAC,39.0,454:57,412:30
DI GIUSEPPE,PHILLIP,L,34,PHILLIP DI GIUSEPPE,41.0,584:41,541:12
ANDERSON,JOSH,R,34,JOSH ANDERSON,12.0,128:23,126:37
MCCARRON,MICHAEL,R,34,MICHAEL MCCARRON,20.0,233:38,206:36
KUHNHACKL,TOM,R,34,TOM KUHNHACKL,42.0,512:24,465:33
MONTOYA,AL,G,35,AL MONTOYA,,,
LINDGREN,CHARLIE,G,35,CHARLIE LINDGREN,,,
SCHNEIDER,CORY,G,35,CORY SCHNEIDER,,,
KUEMPER,DARCY,G,35,DARCY KUEMPER,,,
TOKARSKI,DUSTIN,G,35,DUSTIN TOKARSKI,,,
HOWARD,JIMMY,G,35,JIMMY HOWARD,,,
POULIN,KEVIN,G,35,KEVIN POULIN,,,
ULLMARK,LINUS,G,35,LINUS ULLMARK,,,
DOMINGUE,LOUIS,G,35,LOUIS DOMINGUE,,,
RINNE,PEKKA,G,35,PEKKA RINNE,,,
WILL,ROMAN,G,35,ROMAN WILL,,,
MASON,STEVE,G,35,STEVE MASON,,,
O'BRIEN,JIM,C,36,JIM O'BRIEN,4.0,54:04,51:22
ZUCCARELLO,MATS,C,36,MATS ZUCCARELLO,81.0,1496:36,1203:09
BROWN,PATRICK,C,36,PATRICK BROWN,7.0,88:14,87:08
RINALDO,ZAC,C,36,ZAC RINALDO,52.0,431:09,418:17
LERNOUT,BRETT,D,36,BRETT LERNOUT,1.0,6:30,6:30
MORRISSEY,JOSHUA,D,36,JOSHUA MORRISSEY,1.0,15:54,15:32
PALIOTTA,MICHAEL,D,36,MICHAEL PALIOTTA,1.0,7:32,7:05
HARRINGTON,SCOTT,D,36,SCOTT HARRINGTON,15.0,196:25,182:57
GIBSON,JOHN,G,36,JOHN GIBSON,,,
BOULTON,ERIC,L,36,ERIC BOULTON,6.0,56:55,51:59
JOKINEN,JUSSI,L,36,JUSSI JOKINEN,81.0,1481:36,996:14
