last,first,pos,num,comb,won,lost,dz_won,nz_won,oz_won,p1_won,p2_won,p3_won,ot_won,5v5_won,ev_won,sh_won,pp_won,dz_lost,nz_lost,oz_lost,p1_lost,p2_lost,p3_lost,ot_lost,5v5_lost,ev_lost,sh_lost,pp_lost
GARDINER,JAKE,D,51,JAKE GARDINER,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WATSON,AUSTIN,L,51,AUSTIN WATSON,6.0,7.0,1.0,3.0,2.0,2.0,0.0,4.0,0.0,6.0,6.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,5.0,0.0,6.0,6.0,1.0,0.0
AGOSTINO,KENNY,L,51,KENNY AGOSTINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOLLOWAY,BUD,C,52,BUD HOLLOWAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
COUSINS,NICK,C,52,NICK COUSINS,109.0,128.0,32.0,45.0,32.0,42.0,36.0,31.0,0.0,104.0,107.0,0.0,2.0,37.0,55.0,36.0,40.0,46.0,40.0,2.0,120.0,122.0,0.0,6.0
GUSTAFSSON,ERIK,D,52,ERIK GUSTAFSSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERICSSON,JONATHAN,D,52,JONATHAN ERICSSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINCIN,MARTIN,D,52,MARTIN MARINCIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRWIN,MATT,D,52,MATT IRWIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLLIG,BRANDON,L,52,BRANDON BOLLIG,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
