last,first,pos,num,comb,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
THOMPSON,PAUL,R,45,PAUL THOMPSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KREJCI,DAVID,C,46,DAVID KREJCI,63.0,0.0,1.0,62.0,22.0,17.0,23.0,1.0,31.0,32.0,28.0,3.0,336.0,190.0,272.0,210.0,49.0,10.0,4.0,29.0,19.0,7.0,1.0,2.0,5.0,0.0,0.0
WELSH,JEREMY,C,46,JEREMY WELSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATTA,MICHAEL,C,46,MICHAEL LATTA,6.0,0.0,0.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,59.0,59.0,64.0,62.0,5.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
GORMLEY,BRANDON,D,46,BRANDON GORMLEY,10.0,0.0,0.0,10.0,2.0,6.0,2.0,0.0,10.0,10.0,0.0,0.0,51.0,45.0,59.0,58.0,10.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
FRANSON,CODY,D,46,CODY FRANSON,34.0,0.0,0.0,34.0,6.0,17.0,11.0,0.0,22.0,23.0,11.0,0.0,191.0,132.0,144.0,119.0,29.0,3.0,2.0,12.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0
KUKAN,DEAN,D,46,DEAN KUKAN,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,22.0,20.0,22.0,21.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SPURGEON,JARED,D,46,JARED SPURGEON,57.0,0.0,1.0,56.0,14.0,26.0,17.0,0.0,41.0,45.0,12.0,0.0,312.0,245.0,361.0,287.0,50.0,6.0,1.0,25.0,20.0,10.0,1.0,0.0,1.0,0.0,0.0
WIERCIOCH,PATRICK,D,46,PATRICK WIERCIOCH,26.0,1.0,2.0,23.0,10.0,6.0,10.0,0.0,23.0,23.0,3.0,0.0,153.0,141.0,189.0,173.0,25.0,1.0,0.0,13.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
POLAK,ROMAN,D,46,ROMAN POLAK,49.0,2.0,1.0,46.0,17.0,16.0,16.0,0.0,47.0,48.0,0.0,1.0,249.0,233.0,309.0,229.0,45.0,4.0,0.0,17.0,24.0,6.0,1.0,0.0,1.0,0.0,0.0
CARRICK,TREVOR,D,46,TREVOR CARRICK,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,7.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRIVIK,MAREK,L,46,MAREK HRIVIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIPON,JC,R,46,JC LIPON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLUNDEN,MIKE,R,46,MIKE BLUNDEN,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,24.0,24.0,37.0,37.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SISLO,MIKE,R,46,MIKE SISLO,18.0,0.0,0.0,18.0,7.0,6.0,5.0,0.0,15.0,15.0,3.0,0.0,42.0,37.0,44.0,41.0,17.0,1.0,0.0,8.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0
LINDBERG,TOBIAS,R,46,TOBIAS LINDBERG,6.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,6.0,6.0,0.0,0.0,23.0,19.0,20.0,18.0,5.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
BERTSCHY,CHRISTOPH,C,47,CHRISTOPH BERTSCHY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,13.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOMAROV,LEO,C,47,LEO KOMAROV,58.0,0.0,1.0,57.0,22.0,15.0,18.0,3.0,40.0,43.0,12.0,3.0,331.0,218.0,224.0,174.0,45.0,10.0,3.0,15.0,8.0,9.0,5.0,4.0,17.0,0.0,0.0
GRANT,ALEX,D,47,ALEX GRANT,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,21.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCHENKO,ALEXEY,D,47,ALEXEY MARCHENKO,28.0,0.0,0.0,28.0,7.0,9.0,12.0,0.0,28.0,28.0,0.0,0.0,191.0,180.0,209.0,151.0,26.0,1.0,1.0,7.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
MACDONALD,ANDREW,D,47,ANDREW MACDONALD,17.0,0.0,0.0,17.0,2.0,10.0,5.0,0.0,15.0,16.0,1.0,0.0,92.0,83.0,101.0,72.0,17.0,0.0,0.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
PROUT,DALTON,D,47,DALTON PROUT,22.0,0.0,0.0,22.0,5.0,8.0,9.0,0.0,22.0,22.0,0.0,0.0,175.0,170.0,197.0,163.0,18.0,2.0,2.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0
WARSOFSKY,DAVID,D,47,DAVID WARSOFSKY,24.0,0.0,0.0,24.0,5.0,9.0,10.0,0.0,19.0,19.0,5.0,0.0,87.0,66.0,68.0,61.0,23.0,1.0,0.0,9.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0
LINDHOLM,HAMPUS,D,47,HAMPUS LINDHOLM,62.0,1.0,1.0,60.0,23.0,18.0,20.0,1.0,41.0,44.0,18.0,0.0,377.0,290.0,306.0,215.0,53.0,6.0,3.0,31.0,17.0,10.0,1.0,0.0,3.0,0.0,0.0
ODUYA,JOHNNY,D,47,JOHNNY ODUYA,51.0,0.0,1.0,50.0,21.0,18.0,12.0,0.0,51.0,51.0,0.0,0.0,331.0,308.0,391.0,283.0,43.0,5.0,3.0,15.0,33.0,1.0,0.0,0.0,1.0,0.0,1.0
JORDAN,MICHAL,D,47,MICHAL JORDAN,13.0,0.0,0.0,13.0,3.0,5.0,5.0,0.0,13.0,13.0,0.0,0.0,101.0,98.0,91.0,78.0,12.0,1.0,0.0,6.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
