,last,first,pos,num,GP,TOI,TOI_5v5,corsi_for_5v5/60,corsi_against_5v5/60,corsi_5v5/60,fenwick_for_5v5/60,fenwick_against_5v5/60,fenwick_5v5/60,5v5_block/60,g_block_5_5v5/60,b_block_5_5v5/60,g_block_10_5v5/60,b_block_10_5v5/60,g_block_5_ev/60,5v5_hits/60,g_hit_5_5v5/60,b_hit_5_5v5/60,g_hit_10_5v5/60,b_hit_10_5v5/60,5v5_goal/60,5v5_shot/60,5v5_give/60,5v5_take/60,b_hit_shot_5_5v5/60,5v5_give/60_scaled,b_hit_shot_5_5v5/60_scaled
668,KRUG,TOREY,D,47,81.0,29.1786111111,22.3380555556,57.5251501548,54.794384272,2.73076588284,43.4684208563,41.095788204,2.3726326523,3.26796572864,3.22319907482,0.044766653817,3.22319907482,0.044766653817,3.62609895918,2.46216595993,2.46216595993,0.0,2.46216595993,0.0,0.134299961451,6.62546476491,1.88019946031,0.671499807255,0.044766653817,0.170048165967,-0.240074648538
669,BOGOSIAN,ZACH,D,47,64.0,23.8244444444,19.4322222222,49.8141689062,57.9964549145,-8.18228600835,38.5442278003,44.1534678941,-5.60924009377,4.2197952999,4.2197952999,0.0,4.2197952999,0.0,4.52856080965,3.91102979015,3.91102979015,0.0,3.91102979015,0.0,0.102921836583,4.42563897307,0.977757447538,0.668991937789,0.0,-1.24964603162,-0.899289614674
679,MILLER,COLIN,D,48,42.0,11.0638888889,9.75888888889,56.3588750996,51.6452237277,4.71365137197,44.2673346237,38.5289764317,5.73835819196,3.17659114198,3.07412045998,0.102470681999,3.07412045998,0.102470681999,3.38153250598,4.30376864397,4.30376864397,0.0,4.30376864397,0.0,0.307412045998,4.61118068997,1.63953091199,0.614824091996,0.102470681999,-0.208564239885,0.609650665746
691,EKBLAD,AARON,D,5,78.0,28.1877777778,21.9933333333,48.0600181873,46.8323734465,1.22764474083,38.2843285844,37.1021521673,1.1821764171,2.27341618672,2.27341618672,0.0,2.27341618672,0.0,2.45528948166,3.54652925129,3.54652925129,0.0,3.54652925129,0.0,0.40921491361,5.04698393453,1.63685965444,0.81842982722,0.0,-0.212766580631,-0.899289614674
692,LARSSON,ADAM,D,5,82.0,30.7413888889,24.4577777778,38.5562420498,47.9193167363,-9.36307468653,29.6838088315,34.6719970925,-4.98818826095,4.25222605851,4.25222605851,0.0,4.25222605851,0.0,4.57932037071,5.96947119753,5.96947119753,0.0,5.96947119753,0.0,0.0408867890242,2.33054697438,0.817735780483,0.776848991459,0.0,-1.50138722828,-0.899289614674
693,JACKMAN,BARRET,D,5,73.0,16.8597222222,15.6991666667,57.4552789426,45.9897022135,11.4655767291,42.4863315463,31.2118477626,11.2744837836,4.77732363714,4.71362598864,0.0636976484951,4.71362598864,0.0636976484951,4.84102128563,6.05127660704,6.05127660704,0.0,6.05127660704,0.0,0.0636976484951,4.01295185519,2.03832475184,0.509581187961,0.0636976484951,0.418806042597,0.0386952382325
695,FOLIN,CHRISTIAN,D,5,26.0,6.31805555556,5.37083333333,45.2443754849,59.9534522886,-14.7090768037,31.093871218,43.9410395656,-12.8471683476,4.84096198604,4.84096198604,0.0,4.84096198604,0.0,4.84096198604,6.7028704422,6.7028704422,0.0,6.51667959659,0.186190845617,0.0,2.2342901474,1.67571761055,0.744763382467,0.0,-0.151636431504,-0.899289614674
696,CECI,CODY,D,5,75.0,24.1233333333,19.4152777778,48.4669861936,60.6738679448,-12.2068817512,36.1055869519,45.2221188926,-9.11653194077,5.3051005079,5.25359467773,0.0515058301738,5.20208884756,0.103011660348,5.56262965877,3.1418556406,3.1418556406,0.0,3.1418556406,0.0,0.412046641391,4.79004220617,1.69969239574,0.618069962086,0.0515058301738,-0.113920032074,-0.140836364345
697,MURPHY,CONNOR,D,5,78.0,26.5780555556,21.335,51.9334426998,58.7766580736,-6.8432153738,38.6219826576,45.1839700023,-6.56198734474,4.92149050855,4.92149050855,0.0,4.92149050855,0.0,5.34333255214,6.93695805015,6.93695805015,0.0,6.93695805015,0.0,0.187485352707,3.84344973049,0.984298101711,0.749941410827,0.0,-1.23935647435,-0.899289614674
698,GIRARDI,DAN,D,5,74.0,25.0622222222,20.7563888889,46.7325990659,65.4738166294,-18.7412175635,35.3144279539,46.5398873172,-11.2254593632,7.13033470284,7.13033470284,0.0,7.13033470284,0.0,7.61211407465,7.37122438874,7.37122438874,0.0,7.37122438874,0.0,0.0481779371813,3.37245560269,2.40889685907,0.915380806445,0.0,1.0017787577,-0.899289614674
700,MCBAIN,JAMIE,D,5,44.0,8.97333333333,8.14,62.1621621622,48.0343980344,14.1277641278,45.3316953317,36.855036855,8.47665847666,4.29975429975,4.1769041769,0.12285012285,4.1769041769,0.12285012285,4.1769041769,2.2113022113,2.2113022113,0.0,2.2113022113,0.0,0.12285012285,2.7027027027,1.59705159705,0.2457002457,0.12285012285,-0.275391400058,0.909749763285
702,GARRISON,JASON,D,5,72.0,22.1563888889,18.1525,52.664922187,52.8301886792,-0.165266492219,39.1130698251,39.8292246247,-0.716154799614,4.51728412064,4.51728412064,0.0,4.51728412064,0.0,4.79272827434,3.58077399807,3.58077399807,0.0,3.58077399807,0.0,0.220355322958,4.02148464399,2.03828673736,0.661065968875,0.0,0.418746239378,-0.899289614674
703,HOLZER,KORBINIAN,D,5,29.0,7.13111111111,6.43472222222,55.7910641053,54.2369954673,1.55406863803,41.6490394992,39.7841571336,1.86488236564,4.66220591409,4.66220591409,0.0,4.66220591409,0.0,4.66220591409,8.08115691776,7.92575005396,0.155406863803,7.92575005396,0.155406863803,0.0,2.48650982085,1.24325491043,0.155406863803,0.155406863803,-0.831973536107,1.3891666742
704,SBISA,LUCA,D,5,41.0,11.8730555556,10.29,46.8415937804,58.6005830904,-11.75898931,34.9854227405,45.1895043732,-10.2040816327,4.85908649174,4.85908649174,0.0,4.85908649174,0.0,5.24781341108,6.7055393586,6.7055393586,0.0,6.7055393586,0.0,0.0971817298348,2.62390670554,0.874635568513,0.485908649174,0.0,-1.4118742205,-0.899289614674
705,FAYNE,MARK,D,5,69.0,19.22,16.8119444444,56.0315912959,57.6375923203,-1.6060010244,40.0905440907,42.1723972705,-2.08185317978,4.75852155379,4.75852155379,0.0,4.75852155379,0.0,4.99644763148,2.97407597112,2.97407597112,0.0,2.97407597112,0.0,0.118963038845,3.39044660707,1.66548254383,0.773259752491,0.0,-0.167737925711,-0.899289614674
