last,first,pos,num,comb,takeaways,oz_take,nz_take,dz_take,p1_take,p2_take,p3_take,ot_take,5v5_take,ev_take,pp_take,sh_take
NIEMI,ANTTI,G,31,ANTTI NIEMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICKARD,CALVIN,G,31,CALVIN PICKARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRICE,CAREY,G,31,CAREY PRICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOHNSON,CHAD,G,31,CHAD JOHNSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LACK,EDDIE,G,31,EDDIE LACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDERSEN,FREDERIK,G,31,FREDERIK ANDERSEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPARKS,GARRET,G,31,GARRET SPARKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREAU,JARED,G,31,JARED COREAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAMO,KARRI,G,31,KARRI RAMO,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JONES,MARTIN,G,31,MARTIN JONES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAVELEC,ONDREJ,G,31,ONDREJ PAVELEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUDAJ,PETER,G,31,PETER BUDAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUBAUER,PHILIPP,G,31,PHILIPP GRUBAUER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEDGEWOOD,SCOTT,G,31,SCOTT WEDGEWOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLYNN,BRIAN,C,32,BRIAN FLYNN,20.0,7.0,6.0,7.0,6.0,9.0,5.0,0.0,15.0,16.0,0.0,4.0
GAUDET,TYLER,C,32,TYLER GAUDET,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
BEAUCHEMIN,FRANCOIS,D,32,FRANCOIS BEAUCHEMIN,31.0,4.0,4.0,23.0,9.0,8.0,12.0,2.0,21.0,26.0,1.0,4.0
STREIT,MARK,D,32,MARK STREIT,14.0,3.0,1.0,10.0,1.0,7.0,5.0,1.0,11.0,13.0,1.0,0.0
ROZSIVAL,MICHAL,D,32,MICHAL ROZSIVAL,6.0,0.0,1.0,5.0,3.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0
STALOCK,ALEX,G,32,ALEX STALOCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAANTA,ANTTI,G,32,ANTTI RAANTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRIEDGER,CHRIS,G,32,CHRIS DRIEDGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUICK,JONATHAN,G,32,JONATHAN QUICK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEHTONEN,KARI,G,32,KARI LEHTONEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACKSTROM,NIKLAS,G,32,NIKLAS BACKSTROM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACHMAN,RICHARD,G,32,RICHARD BACHMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIVO,JOSH,L,32,JOSH LEIVO,4.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
WILSON,COLIN,C,33,COLIN WILSON,24.0,10.0,8.0,6.0,10.0,8.0,6.0,0.0,24.0,24.0,0.0,0.0
RYAN,DEREK,C,33,DEREK RYAN,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0
SEDIN,HENRIK,C,33,HENRIK SEDIN,23.0,15.0,3.0,5.0,3.0,12.0,7.0,1.0,19.0,21.0,1.0,1.0
GOLIGOSKI,ALEX,D,33,ALEX GOLIGOSKI,18.0,1.0,3.0,14.0,5.0,9.0,4.0,0.0,12.0,12.0,0.0,6.0
BYFUGLIEN,DUSTIN,D,33,DUSTIN BYFUGLIEN,73.0,10.0,29.0,34.0,23.0,32.0,17.0,1.0,51.0,58.0,1.0,14.0
NAKLADAL,JAKUB,D,33,JAKUB NAKLADAL,4.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0
MITCHELL,WILLIE,D,33,WILLIE MITCHELL,6.0,1.0,1.0,4.0,1.0,3.0,2.0,0.0,5.0,6.0,0.0,0.0
CHARA,ZDENO,D,33,ZDENO CHARA,23.0,3.0,2.0,18.0,4.0,11.0,8.0,0.0,19.0,19.0,0.0,4.0
TALBOT,CAM,G,33,CAM TALBOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIBSON,CHRISTOPHER,G,33,CHRISTOPHER GIBSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KASDORF,JASON,G,33,JASON KASDORF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARLING,SCOTT,G,33,SCOTT DARLING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HANNIKAINEN,MARKUS,L,33,MARKUS HANNIKAINEN,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
SILFVERBERG,JAKOB,R,33,JAKOB SILFVERBERG,44.0,16.0,13.0,15.0,15.0,9.0,19.0,1.0,31.0,36.0,0.0,8.0
CARON,JORDAN,R,33,JORDAN CARON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARCOBELLO,MARK,R,33,MARK ARCOBELLO,9.0,5.0,1.0,3.0,5.0,2.0,2.0,0.0,9.0,9.0,0.0,0.0
SODERBERG,CARL,C,34,CARL SODERBERG,32.0,12.0,5.0,15.0,13.0,13.0,6.0,0.0,26.0,26.0,1.0,5.0
NELSON,CASEY,D,34,CASEY NELSON,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
